,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,gas,concentration
0,158315.205,7.22291,37.819348,48.584092,62.969651,-27.50202,-40.643581,-169.158713,144411.6269,6.185555,35.675666,50.220013,58.045175,-25.299218,-36.708665,-136.396376,28622.0796,5.088545,7.062478,10.856156,13.165506,-5.86487,-8.247402,-16.695312,28035.7422,4.909794,6.923998,11.356664,12.88507,-5.76021,-8.024814,-15.59089,5828.4624,2.556218,2.047611,5.359893,6.838457,-1.230939,-1.918311,-3.366173,5343.7088,2.399183,1.824291,4.626063,6.471652,-1.069766,-1.618507,-3.186874,35575.9756,5.118837,9.81866,17.207336,19.542839,-8.06861,-12.172146,-21.219317,36518.9531,5.045273,10.290284,19.654771,23.220606,-8.546532,-13.183145,-22.841446,108015.7539,5.974045,26.246369,34.332195,50.525749,-17.469072,-24.064094,-99.439211,88225.6523,5.917825,20.092677,25.425454,32.692397,-14.031855,-19.242763,-69.643406,34846.1597,5.66765,8.497159,11.638292,14.195315,-7.293373,-10.382766,-21.724439,27047.1655,5.270509,6.445236,8.717155,10.627171,-5.517921,-7.615051,-16.55569,8043.2319,2.751408,2.683841,7.483982,9.951469,-1.682648,-2.741542,-5.202464,8108.2959,2.726859,2.525985,6.445169,8.740118,-1.582172,-2.396974,-5.784153,45029.5107,5.906338,12.193248,20.61485,24.647798,-10.909304,-17.245543,-31.848224,39137.8574,5.596673,10.57184,17.237221,20.1664,-9.098315,-13.963193,-24.433642,5,200.0
1,70182.2168,14.687639,20.314544,29.661384,32.633507,-14.296286,-19.775802,-43.490334,70757.7447,12.969022,22.201945,34.922153,38.848504,-14.44872,-20.453967,-46.08486,23510.2666,5.694829,7.324519,12.874194,14.640071,-5.312414,-7.686078,-14.811146,23305.6728,5.508851,7.372384,13.432231,14.922887,-5.300269,-7.738166,-14.386576,5673.646,3.193079,2.258477,5.844707,7.566664,-1.307015,-2.159821,-3.733554,5211.0401,3.001678,2.059106,5.313346,7.079946,-1.148285,-1.859183,-3.85425,29495.4057,6.494997,10.156262,19.071479,21.175935,-7.109784,-10.881314,-16.367908,31048.2705,6.451377,10.965362,21.394045,23.93479,-7.842572,-12.581555,-20.943673,55306.0542,9.374555,15.298661,21.725789,25.747808,-9.92014,-13.396389,-34.635805,45386.8731,8.254299,11.323523,15.242782,18.887463,-7.614496,-10.118794,-26.487447,27465.5381,5.728784,8.100467,13.043557,15.261561,-6.185236,-8.971012,-17.868201,21761.0659,5.326811,6.38119,10.244539,12.323079,-4.879945,-6.957502,-14.027291,7207.9956,3.333192,2.802329,7.597712,10.451417,-1.626549,-2.764492,-5.790367,7411.7654,3.369122,2.797287,7.196407,10.008079,-1.56668,-2.455209,-5.16867,36159.3355,6.619691,11.759751,20.779193,24.474746,-8.976529,-13.98102,-25.097924,31695.2149,6.534515,10.480344,18.478376,21.196544,-7.580444,-11.600897,-21.049675,4,200.0
2,110264.7993,25.577204,33.566789,52.309483,57.536219,-25.447118,-43.869,-139.584414,92911.5835,21.303366,29.467422,47.946434,53.288798,-20.903141,-36.893977,-118.707338,37376.0288,9.679306,12.402221,24.200478,27.702336,-9.303849,-17.886783,-50.4023,36934.0405,9.251784,12.276076,25.033757,28.544812,-9.232125,-17.910055,-52.730591,8432.8694,3.99973,3.521873,9.826239,13.25391,-2.176886,-4.876335,-13.974983,8071.8247,3.831891,3.300549,9.365053,12.093051,-1.977041,-4.254623,-11.378548,47038.5581,10.630283,18.421358,37.880574,43.130862,-12.931883,-28.93966,-86.765227,49366.0825,10.446226,19.665662,41.762896,47.468569,-13.984207,-32.178875,-98.837013,94448.0865,18.479009,28.554562,43.750173,51.805717,-19.607771,-28.763968,-85.009109,83717.853,15.128761,23.254484,33.568467,39.484249,-16.695814,-23.788157,-86.979008,46267.5044,9.987595,15.152261,26.848176,30.591396,-11.406318,-21.661689,-61.902873,37233.8007,9.797938,12.113812,21.173034,23.907912,-9.091925,-17.519657,-51.86982,12823.3288,4.676225,5.429918,15.76728,20.864059,-3.279363,-7.479014,-20.511594,12625.5384,4.6266,5.037206,14.373707,18.990529,-2.996738,-6.738286,-18.869676,60865.3916,11.424431,23.923916,47.497652,54.754105,-17.499774,-41.819589,-110.24402,54087.4815,11.106144,21.22293,41.991158,47.551492,-15.155618,-34.382597,-104.785378,1,250.0
3,21087.3388,6.091078,6.221995,9.426199,10.499549,-3.281233,-4.223254,-8.01137,23375.8935,6.34558,7.877075,12.915081,14.227686,-3.699618,-4.737385,-9.171338,21889.5947,4.225714,6.798315,9.260062,11.781762,-3.280772,-4.797614,-9.310175,24158.6606,4.383572,7.481729,10.173763,12.378269,-3.47404,-5.067143,-10.802279,3895.4072,2.368199,1.607591,3.524839,4.328886,-0.804951,-1.318331,-2.780721,4025.751,2.38937,1.616871,3.367277,4.288102,-0.808568,-1.303311,-2.347702,19491.0528,3.708552,7.271902,10.776249,12.461167,-3.474016,-5.436738,-9.029043,22168.3555,3.840997,8.210818,12.339529,14.264848,-3.94658,-6.234548,-11.6804,14695.4877,4.535666,3.978041,5.705078,6.883858,-2.025693,-2.632304,-6.143486,14809.0313,4.61211,3.542473,4.825005,5.960022,-1.861131,-2.405257,-6.388792,15204.6191,3.742243,4.887745,6.804667,8.432965,-2.758668,-4.054646,-9.227134,15921.4312,3.933686,4.740352,6.468787,8.948463,-2.610363,-3.770805,-7.626726,6549.0098,3.018306,2.517157,5.100523,6.52649,-1.307015,-2.130209,-3.77559,7363.6219,3.220444,2.668939,4.884881,6.380287,-1.415593,-2.202082,-4.703079,16336.7442,3.54505,6.13618,9.2167,10.657887,-3.463199,-5.401389,-11.461906,14191.3491,3.444373,5.373986,8.021176,9.5374,-2.959081,-4.506146,-8.089159,3,250.0
4,151751.0098,6.896093,36.02998,47.451293,60.301139,-26.526033,-39.010145,-184.953373,141488.1406,5.977767,34.676759,49.815303,60.870249,-24.823482,-35.999451,-157.315585,26221.7158,4.527625,6.169503,9.611611,11.595075,-5.298759,-7.43954,-15.554308,25528.3384,4.364548,6.074766,10.148326,12.204396,-5.194459,-7.472961,-14.445756,5803.5954,2.5358,1.897157,4.895622,6.389846,-1.202753,-1.845697,-3.706391,5365.8311,2.41094,1.70293,4.243046,5.569293,-1.052473,-1.516797,-3.515286,32946.8867,4.754786,8.530606,15.403299,18.161696,-7.226627,-10.506942,-17.709039,34719.1143,4.724197,9.152631,17.848887,20.280016,-7.789857,-12.218443,-21.508421,102800.0391,5.661057,24.484194,31.639943,42.273208,-16.744921,-24.610749,-83.155727,82793.3437,5.546745,18.480966,23.144097,36.400417,-13.312184,-18.460116,-72.927192,32850.0195,4.980839,7.545949,10.65667,13.175506,-6.784021,-9.742091,-21.673308,25609.6455,4.692341,5.804305,7.927061,9.904428,-5.135917,-7.207388,-13.777508,7786.0327,2.664573,2.461157,6.687776,8.96655,-1.584791,-2.443638,-5.357032,7815.834,2.632598,2.3327,5.918641,8.581867,-1.507912,-2.206902,-5.038921,43194.5235,5.378058,10.715098,18.597982,22.828894,-9.973554,-15.035306,-30.190763,36993.6142,5.115815,9.294942,15.574136,18.342263,-8.313014,-12.371268,-23.378793,5,175.0
5,167845.5351,6.714475,43.59115,64.054009,84.1804,-29.073484,-51.400037,-301.745029,156079.8653,5.812249,42.368184,68.463839,85.700715,-27.071509,-48.01934,-287.569985,26265.6993,4.270399,6.530359,10.991768,13.434609,-5.557976,-8.203609,-20.72969,25652.2159,4.122722,6.461877,11.65225,14.456234,-5.430061,-7.967625,-18.399233,5684.4672,2.603799,1.953138,5.166579,7.029349,-1.188129,-1.915048,-5.063411,5187.7805,2.449343,1.740769,4.510499,6.538166,-1.038954,-1.635534,-5.094306,33554.5058,4.59857,9.188109,17.472353,20.674697,-7.722239,-11.578942,-25.381989,35003.1337,4.546882,9.896605,20.141294,24.366906,-8.241811,-13.078099,-29.110072,106694.7637,5.470195,26.821711,36.651987,57.909722,-17.46967,-29.07148,-147.566684,86113.2695,5.400008,19.963146,26.471057,41.377873,-13.733229,-20.840447,-112.295928,31393.9824,4.510879,7.513853,11.725466,15.482033,-6.751478,-9.952322,-26.981214,24335.1225,4.17302,5.81976,8.908099,12.597973,-5.2002,-7.814566,-22.372064,7495.3574,2.689761,2.521856,7.104532,11.202582,-1.551856,-2.621441,-7.848095,7609.2622,2.652418,2.413057,6.461587,9.731351,-1.503191,-2.434004,-7.165091,41983.1075,4.978972,11.101498,20.691955,27.876088,-10.041281,-15.947387,-37.722043,36318.5527,4.812636,9.596569,17.393531,22.359327,-8.384531,-13.448198,-34.980702,5,175.0
6,55270.3882,7.831258,16.472194,24.730875,27.274966,-9.614112,-13.01182,-28.485061,57941.1123,6.88191,19.091767,31.160577,35.527447,-10.268702,-13.761452,-39.270863,29480.2036,5.123085,7.867221,9.650241,14.557003,-5.029036,-7.325405,-16.958781,31708.7251,5.251064,8.390785,10.315838,13.730828,-5.238187,-7.630255,-15.900941,4888.4683,2.559349,1.850674,3.784293,5.19343,-1.055275,-1.643212,-3.235911,4940.0066,2.543006,1.826532,3.605706,4.810386,-1.033749,-1.541853,-3.378371,29329.0107,4.734904,9.623063,12.773893,14.95993,-5.9303,-8.835803,-15.325608,32636.1836,4.839599,10.683827,14.195185,16.118166,-6.618583,-10.020588,-19.34932,37994.6573,5.526942,10.490684,14.854955,18.184713,-6.147696,-8.024479,-19.403989,34240.4301,5.436849,8.426189,11.366262,14.922919,-5.203272,-6.933358,-20.380336,23125.3277,4.71402,6.864397,8.631554,11.925209,-4.533556,-6.591461,-14.140618,23164.1059,4.8868,6.117686,7.575696,11.308206,-4.18087,-6.01541,-12.901963,7701.1611,3.110786,2.751657,5.761535,8.120942,-1.600705,-2.532899,-5.10146,8519.0918,3.285118,2.865648,5.288164,7.308404,-1.698238,-2.488078,-5.832946,27583.7612,4.763892,9.506864,14.1147,16.412285,-6.251434,-9.998925,-17.194626,23839.6201,4.574488,8.278239,12.180396,14.272698,-5.297761,-8.156835,-15.839577,3,250.0
7,8063.7124,4.012301,1.699865,2.17043,2.998208,-1.34341,-1.730535,-3.279313,9450.1934,4.293082,2.09031,2.715642,3.713124,-1.562377,-2.017904,-3.81413,45399.6408,14.508265,17.8421,40.436636,46.206267,-11.238195,-16.710585,-24.451776,46101.035,14.138174,18.202666,41.506255,46.956984,-11.442433,-16.943342,-23.001365,5014.118,3.303536,2.106966,6.647119,9.119849,-1.143142,-1.81936,-3.017923,5511.1573,3.45257,2.215382,6.797081,9.418155,-1.269502,-1.936025,-3.308147,46054.0745,13.463799,19.929843,54.410487,64.880474,-11.972602,-18.983659,-23.999259,49576.3882,13.644056,22.109269,61.647309,74.398071,-13.420615,-22.134822,-31.319979,4735.396,2.857919,0.872032,1.149278,2.623771,-0.696799,-1.007443,-2.618992,3691.3313,2.548636,0.655502,0.89166,2.320943,-0.501417,-0.813257,-2.287962,49999.7758,14.317274,19.567976,43.870838,49.730702,-11.922878,-17.469185,-32.147641,41036.5247,14.074818,15.318264,32.610281,36.647186,-9.879012,-14.496355,-21.678425,9416.6963,4.801807,3.676881,11.267204,15.685882,-2.312684,-4.011096,-6.603561,10127.8454,5.085993,3.771658,10.894713,14.77792,-2.388103,-3.757243,-6.155363,53167.9765,14.141927,23.837397,70.891981,85.100707,-13.885517,-23.302674,-36.456926,47287.4406,13.651851,20.049293,56.652571,68.082166,-12.035333,-19.06152,-28.580764,2,225.0
8,122429.02,44.537885,38.894434,60.493504,66.931677,-27.544495,-39.268055,-97.236206,104628.9846,38.639502,35.036374,56.981045,62.54965,-23.179325,-32.574409,-83.970454,34365.2576,13.2174,10.716143,20.649442,23.631311,-8.071865,-11.736112,-21.709734,33988.789,12.614933,10.602206,21.523982,24.899244,-8.014558,-11.809585,-23.442054,8384.5977,4.171736,3.524743,10.50018,13.974219,-2.049502,-3.381821,-5.483113,7914.4832,3.943886,3.208691,9.539123,12.737964,-1.837757,-2.863563,-4.942014,42958.4699,12.879727,16.193136,34.055056,39.979404,-11.1083,-17.937758,-26.811464,45007.8054,12.542847,17.363069,37.998808,44.070254,-12.008668,-19.769126,-36.601412,102267.1827,36.041982,32.199186,49.766161,56.150797,-20.940668,-28.553125,-88.309487,91826.9106,31.961362,26.378359,38.643763,45.535269,-17.892662,-24.484767,-73.348489,40106.3118,15.609074,12.543777,22.475522,25.184251,-9.3749,-13.758063,-27.64016,32588.8903,13.774594,10.050637,17.799244,20.635871,-7.564562,-11.001423,-20.776588,12045.7138,5.170464,5.100968,15.39151,20.831566,-2.863388,-5.057212,-8.618546,11880.3925,5.132548,4.668171,13.772357,18.538957,-2.653281,-4.224925,-8.270653,54180.375,16.094917,20.892023,42.919619,48.861072,-14.466918,-24.820716,-43.520715,47374.446,15.222209,18.058296,37.443802,42.429828,-12.277513,-20.617891,-38.237754,1,250.0
9,165477.9219,6.818812,41.825267,57.435305,69.308129,-29.183205,-44.481218,-188.491542,152263.0253,5.863118,39.623323,59.782569,72.051414,-27.017853,-39.627857,-189.685297,28677.9697,4.726666,6.84354,11.110743,13.725597,-5.825066,-8.151291,-15.641641,28093.7519,4.579019,6.692955,11.420794,13.862152,-5.670562,-7.827796,-16.34236,5882.49,2.488401,1.990408,5.240437,7.045318,-1.225417,-1.933224,-4.150265,5379.0577,2.349849,1.813271,4.867649,6.308205,-1.075028,-1.691555,-3.424696,35781.0664,4.776086,9.505586,18.198702,20.891538,-7.935137,-12.389349,-21.891791,37536.7559,4.694998,10.088749,20.438444,23.538187,-8.517169,-13.044008,-25.567516,105787.1934,5.612505,25.597458,33.52261,46.071369,-17.306775,-24.946268,-93.12566,85244.9453,5.568474,19.273438,24.472017,35.217446,-13.711259,-19.102065,-68.666003,34985.4707,5.163215,8.181053,11.724409,15.12247,-7.171399,-9.993483,-20.432921,26989.1782,4.853738,6.214784,9.055189,11.524947,-5.421852,-7.56481,-15.733207,7890.145,2.616078,2.592902,7.227258,9.794746,-1.600149,-2.712778,-6.050711,7956.0181,2.610708,2.501609,6.705238,9.133278,-1.550585,-2.451929,-5.666811,46175.0908,5.373989,11.758021,21.558649,26.098753,-10.531284,-16.844818,-29.725066,39477.166,5.149082,10.101036,18.442739,21.282435,-8.823783,-13.872536,-26.604124,5,175.0
